ID,Start time,Completion time,Email,Name,Id des Teilnehmers,Spieltyp auf den sich dieser Fragebogen bezieht.,Dauer,"In der computererzeugten Welt hatte ich den Eindruck, dort gewesen zu sein...","Ich hatte das Gefühl, daß die virtuelle Umgebung hinter mir weitergeht.","Ich hatte das Gefühl, nur Bilder zu sehen.","Ich hatte das Gefühl, in dem virtuellen Raum zu handeln statt etwas von außen zu bedienen.","Ich fühlte mich im virtuellen Raum anwesend.","Meine reale Umgebung war mir nicht mehr bewußt.","Ich achtete noch auf die reale Umgebung.","Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.","Die virtuelle Welt erschien mir wirklicher als die reale Welt.","Ich hatte nicht das Gefühl, in dem virtuellen Raum zu sein.","Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, Raumtemperatur, andere Personen etc.)?","Wie real erschien Ihnen die virtuelle Umgebung?","Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?","Wie real erschien Ihnen die virtuelle Welt?","Ich denke, dass ich das System gerne häufig benutzen würde.",Ich fand das System unnötig komplex.,Ich fand das System einfach zu benutzen.,"Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.","Ich fand, die verschiedenen Funktionen in diesem System waren gut integriert.","Ich denke, das System enthielt zu viele Inkonsistenzen.","Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit diesem System sehr schnell lernen.",Ich fand das System sehr umständlich zu nutzen.,Ich fühlte mich bei der Benutzung des Systems sehr sicher.,"Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden.",Insel 1 (hier ist Charakter gestartet),Insel 2,Insel 3 (Felsen),Insel 4 (Wolke),Insel 5 (Ziel mit Zelt),Ich hatte das Gefühl die Geschwindigkeit des Charakters gut einschätzen zu können.,Ich konnte ein persönliche Verbindung zu den Charakter aufbauen.,Bitte schätzen Sie wie viele Minuten Sie im Spiel verbracht haben.,Ich konnte die Ereignisse gut kontrollieren.,Ich habe die Interaktion mit der virtuellen Umgebung als natürlich empfunden.,Die visuellen Aspekte haben mich stark eingezogen.,Ich finde das Kontrollieren der Bewegung natürlich.,Ich finde die Bewegungen von Objekten im virtuellen Raum waren überzeugend.,Ich konnten die Umgebung mit meinen Augen leicht durchsuchen.,Ich empfand es natürlich sich durch die virtuelle Welt zu bewegen.,Ich konnte die Objekte in der virtuellen Umgebung gut bewegen bzw. manipulieren.,Ich war in dem virtuellen Erlebnis stark einbezogen.,Ich finde es sehr einfach Objekte durch physische Interaktionen (z.B. Berührung) zu identifizieren.,Das Audio hat mich stark eingezogen.,Ich konnte verschiedene Geräusche gut unterscheiden.,Ich konnte Geräusche gut lokalisieren.,Ich konnte die Umgebung gut mit meiner Hand wahrnehmen.,Ich konnte Objekte aus nächster Nähe beobachten.,Ich konnte Objekte gut von verschiedenen Perspektiven anschauen.,Ich konnte gut vorhersagen was die Reaktionen auf meine Aktionen sind.,Ich konnte mich sehr schnell an die virtuelle Umgebung gewöhnen.,Zum Ende des Spiels hatte ich das Gefühl mit der virtuellen Umgebung kompetent interagieren zu können.,Ich konnte mich gut auf die Aufgaben das Spiel zu lösen konzentrieren ohne stark auf die Mechanismen um die Aufgaben zu lösen achten zu müssen.,Meine Sinne waren Stark in das Spiel einbezogen.,Es gab Momente in denen ich vollständig im Spiel eintauchen konnte.,Ich konnte mich leicht an die Geräte involviert im Spiel gewöhnen.,Für mich waren die Informationen die meine verschiedenen Sinne wahrgenommen haben konsistent.,Die Verzögerung zwischen meinen Aktionen und erwarteten Ergebnis waren angemessen.,Die Qualität der optischen Anzeige hat mich daran gehindert im Spiel einzutauchen.,"Die Geräte die ich benutzt habe, haben mich abgelenkt.","Nennen Sie drei bis fünf Punkte, die Ihnen an dieser Anwendung am besten gefallen haben:","Nennen Sie Sie drei bis fünf Punkte, die Ihnen an dieser Anwendung am wenigsten gefallen haben:","Haben Sie weitere Ideen, wie Sie die genutze Technologie verwenden könnten? Dann können Sie diese hier nennen.","Haben Sie weitere Kommentare, Kritikpunkte, oder ähnliches?"
1,8/3/21 0:44:17,8/3/21 1:15:07,anonymous,,1,Mit Haptik,4:43.96,sehr stark,trifft eher nicht zu,trifft gar nicht zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft gar nicht zu,trifft gar nicht zu,trifft eher nicht zu,hatte das Gefühl,unbewußt,real,nicht,wie eine vorgestellte Welt,Stimme etwas zu,Stimme eher nicht zu,weder noch,weder noch,Stimme etwas zu,Stimme etwas zu,"Stimme voll zu
",weder noch,Stimme etwas zu,Stimme etwas zu,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,normal,stimme nicht zu,weder noch,5,wenig,eher wenig,stark,ein bisschen,eher wenig,stark,ein bisschen,wenig,stark,"weiß nicht, unentschieden","weiß nicht, unentschieden",ein bisschen,ein bisschen,stark,stark,stark,"weiß nicht, unentschieden",eher wenig,ein bisschen,ein bisschen,sehr stark,sehr stark,sehr stark,stark,"weiß nicht, unentschieden",ein bisschen,ein bisschen,"Die Spielfigur war lustig
Musik war angenehm
Die Details z.B. das Lagerfeuer auf der letzten Insel war süß","Die Spielfigur blieb of stehen und ich wußte nicht wie ich sie weiterbewegen soll.
man braucht etwas Geduld bis man versteht, wie man die Spielfigur bewegt
Die Wolkeninsel war zu klein, generell hätten die Inseln größer sein können
","Im medizinischen Bereich in der Lehre, um z.B. innere Organe kennen zu lernen.
Im Kindergarten, um Kinder an diese Technologie heran zu führen
In der Ausbildung von Handwerksberufen, z.B. bei Elekroinstallateure - wie schließe ich richtig eine Steckdose an. ","Super Technologie, die mehr Anwendungen im Alltag braucht"
2,8/3/21 1:17:44,8/3/21 1:24:46,anonymous,,1,Ohne Haptik,1:05.46,sehr stark,trifft eher nicht zu,trifft gar nicht zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft gar nicht zu,trifft völlig zu,trifft eher zu,hatte das Gefühl,unbewußt,real,nicht,eher wie eine vorgestellte Welt,Stimme etwas zu,"Stimme 
überhaupt nicht zu",Stimme etwas zu,weder noch,weder noch,Stimme eher nicht zu,Stimme etwas zu,weder noch,Stimme etwas zu,Stimme etwas zu,normal,normal,normal,normal,normal,stimme nicht zu,stimme zu,2,stark,stark,ein bisschen,stark,ein bisschen,sehr stark,sehr stark,ein bisschen,sehr stark,stark,"weiß nicht, unentschieden",stark,ein bisschen,"weiß nicht, unentschieden",sehr stark,sehr stark,ein bisschen,stark,sehr stark,sehr stark,sehr stark,sehr stark,stark,ein bisschen,ein bisschen,wenig,gar nicht,"Die Spielfigur war sympathisch
Die Musik war beschwingt
Das Spiel hat Spaß gemacht","Die Abstände zwischen den Insel zu klein - gerade zur Felsinsel hin
Die Inseln generell zu klein",,
3,8/3/21 6:09:08,8/3/21 6:27:35,anonymous,,2,Ohne Haptik,1:12.91,etwas,trifft eher nicht zu,trifft gar nicht zu,trifft eher zu,trifft völlig zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,hatte eher nicht das Gefühl,etwas bewußt,real,mittelmäßig,eher wie eine vorgestellte Welt,"Stimme voll zu
","Stimme 
überhaupt nicht zu",Stimme etwas zu,weder noch,"Stimme voll zu
","Stimme 
überhaupt nicht zu","Stimme voll zu
","Stimme 
überhaupt nicht zu","Stimme voll zu
","Stimme 
überhaupt nicht zu",kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,stimme überhaupt nicht zu,stimme zu,2 min,ein bisschen,stark,sehr stark,wenig,stark,stark,stark,eher wenig,sehr stark,gar nicht,ein bisschen,wenig,gar nicht,wenig,stark,sehr stark,ein bisschen,stark,stark,sehr stark,ein bisschen,stark,stark,"weiß nicht, unentschieden",sehr stark,gar nicht,gar nicht,"1. visuelle Darstellung, Umgebung ist charikaturmäßig sehr real erschienen
2. Möglichkeit im dreidimensionalen Bereich zu spielen 
3. keine komplizierten Anforderungen um das Spiel zu verstehen 
","1. Schwierigkeiten die Handbewegungen richtig einzuschätzen, manchmal saß die Figur auf der Hand und ist nur schwer wieder runtergegangen",-,-
4,8/3/21 6:36:59,8/3/21 6:46:36,anonymous,,2,Mit Haptik,1:04.34,etwas,trifft eher nicht zu,trifft eher nicht zu,trifft völlig zu,trifft eher zu,trifft gar nicht zu,trifft eher zu,trifft völlig zu,trifft gar nicht zu,teils-teils,etwas unbewußt,vollkommen real,etwas,fast nicht zu unterscheiden von der realen Welt,"Stimme voll zu
","Stimme 
überhaupt nicht zu","Stimme voll zu
",Stimme eher nicht zu,"Stimme voll zu
","Stimme 
überhaupt nicht zu",Stimme etwas zu,"Stimme 
überhaupt nicht zu",Stimme etwas zu,"Stimme 
überhaupt nicht zu",kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,stimme überhaupt nicht zu,stimme zu,3 min ,ein bisschen,stark,sehr stark,eher wenig,sehr stark,stark,stark,eher wenig,sehr stark,wenig,stark,wenig,wenig,stark,stark,sehr stark,eher wenig,stark,stark,sehr stark,ein bisschen,stark,stark,"weiß nicht, unentschieden",stark,gar nicht,gar nicht,-das Erlebnis wurde durch Aktuatoren wesentlich realer ,-,-,-
5,8/3/21 6:48:21,8/3/21 7:15:04,anonymous,,3,Mit Haptik,1:02.34,etwas,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft völlig zu,trifft völlig zu,trifft gar nicht zu,trifft völlig zu,trifft eher nicht zu,hatte eher das Gefühl,etwas unbewußt,real,etwas,weder noch,Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,"Stimme 
überhaupt nicht zu",Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,Stimme eher nicht zu,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,weder noch,stimme überhaupt nicht zu,3,stark,stark,stark,sehr stark,stark,stark,stark,ein bisschen,ein bisschen,stark,ein bisschen,ein bisschen,ein bisschen,ein bisschen,ein bisschen,ein bisschen,ein bisschen,stark,ein bisschen,stark,stark,ein bisschen,stark,stark,ein bisschen,"weiß nicht, unentschieden",wenig,"- Realisms
- Steuerung
- Bedienung ","- Etwas unscharf 
- Sensoren etwas schwer -> ungewohnetes Gefühl am Arm
- zum Teil leichte Verzögerung bei der Bewegung des Charakters ",- VR Spieler wo Verletzungen des Charakters im Spiel durch Vibrationen von Sensoren am Körper des Spielers simuliert werden,
6,8/3/21 7:17:13,8/3/21 7:28:34,anonymous,,3,Ohne Haptik,0:29.60,etwas,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,hatte eher das Gefühl,etwas unbewußt,real,etwas,weder noch,"Stimme voll zu
",Stimme eher nicht zu,"Stimme voll zu
",Stimme eher nicht zu,"Stimme voll zu
",Stimme eher nicht zu,Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,"Stimme 
überhaupt nicht zu",langsam,normal,normal,schnell,schnell,weder noch,stimme nicht zu,1,stark,stark,stark,ein bisschen,stark,stark,ein bisschen,ein bisschen,ein bisschen,stark,"weiß nicht, unentschieden","weiß nicht, unentschieden","weiß nicht, unentschieden","weiß nicht, unentschieden",stark,stark,stark,stark,stark,stark,stark,stark,stark,ein bisschen,"weiß nicht, unentschieden",ein bisschen,"weiß nicht, unentschieden",,,,
7,8/3/21 8:39:07,8/3/21 9:17:39,anonymous,,4,Ohne Haptik,2:06.39,etwas,trifft eher nicht zu,trifft gar nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft gar nicht zu,trifft eher zu,teils-teils,teils-teils,unbewußt,weder noch,etwas,wie eine vorgestellte Welt,Stimme etwas zu,"Stimme 
überhaupt nicht zu","Stimme voll zu
","Stimme 
überhaupt nicht zu","Stimme voll zu
",Stimme etwas zu,"Stimme voll zu
","Stimme 
überhaupt nicht zu",Stimme etwas zu,"Stimme 
überhaupt nicht zu",kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,weder noch,stimme nicht zu,4,ein bisschen,eher wenig,stark,stark,stark,stark,stark,stark,stark,ein bisschen,ein bisschen,stark,stark,ein bisschen,stark,stark,stark,stark,stark,stark,stark,stark,stark,stark,stark,wenig,wenig,"Mario, dass es dreidimmensional war, bunt","manchmal zu schnell, das Spiel war zu kurz, hätte gerne mehr in das Spiel eingegriffen",,
8,8/3/21 9:23:19,8/3/21 9:34:09,anonymous,,4,Mit Haptik,0:44.55,etwas,teils-teils,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,hatte eher das Gefühl,etwas unbewußt,real,etwas,eher wie eine vorgestellte Welt,Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,weder noch,Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,"Stimme 
überhaupt nicht zu",Stimme etwas zu,Stimme eher nicht zu,normal,schnell,langsam,kann ich nicht beurteilen,schnell,weder noch,stimme zu,1,ein bisschen,stark,stark,stark,stark,stark,stark,stark,stark,stark,eher wenig,ein bisschen,ein bisschen,stark,stark,stark,stark,stark,stark,stark,stark,stark,stark,stark,stark,wenig,wenig,,dass das Spiel zu kurz war,,
9,8/3/21 10:14:36,8/3/21 10:54:38,anonymous,,5,Mit Haptik,2:01.25,sehr stark,trifft eher zu,trifft eher nicht zu,trifft völlig zu,trifft völlig zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft eher nicht zu,hatte das Gefühl,etwas unbewußt,weder noch,etwas,weder noch,Stimme etwas zu,"Stimme 
überhaupt nicht zu","Stimme voll zu
","Stimme 
überhaupt nicht zu","Stimme voll zu
",Stimme eher nicht zu,"Stimme voll zu
","Stimme 
überhaupt nicht zu",Stimme etwas zu,"Stimme 
überhaupt nicht zu",kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,kann ich nicht beurteilen,weder noch,stimme nicht zu,5,ein bisschen,stark,stark,stark,stark,stark,stark,stark,stark,stark,ein bisschen,stark,stark,stark,stark,sehr stark,sehr stark,sehr stark,sehr stark,sehr stark,stark,stark,sehr stark,stark,ein bisschen,eher wenig,gar nicht,"Integration der virtuellen in die reale Welt, 3-D-Effekt, Einfachheit des Spiels, bekannter Charakter","Teilweise etwas hakelig, Dauer zu kurz, manchmal langsame bis keine oder unerwartete Reaktion","Im professionellen Bereich, z.B. bei Trainings (Simulationen etc.); zur Vorbereitung von Reisen, Ausflügen, Präsentationen etc.; bei Video-Calls","Hat Spaß gemacht, faszinierende Aussichten"
10,8/3/21 10:55:50,8/3/21 11:06:43,anonymous,,5,Ohne Haptik,1:00.07,sehr stark,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,teils-teils,mittelmäßig,real,etwas,eher wie eine vorgestellte Welt,Stimme etwas zu,"Stimme 
überhaupt nicht zu","Stimme voll zu
","Stimme 
überhaupt nicht zu",Stimme etwas zu,"Stimme 
überhaupt nicht zu",Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,Stimme eher nicht zu,normal,schnell,normal,langsam,schnell,weder noch,weder noch,4,ein bisschen,ein bisschen,stark,stark,stark,stark,ein bisschen,stark,stark,stark,ein bisschen,ein bisschen,ein bisschen,stark,stark,sehr stark,ein bisschen,stark,stark,sehr stark,ein bisschen,ein bisschen,stark,stark,stark,eher wenig,gar nicht,"Macht Spaß, 3-D-Effekt, einfaches Handling","Reaktionen machmal etwas langsam oder nicht wie beabsichtigt, zu kurze Spielzeit","Für Trainings (beruflich, privat), für Video-Calls, für virtuelle Besichtigungen, Vorbereitungen etc.","Macht Spaß, faszinienrende Aussichten"
11,8/3/21 11:08:32,8/3/21 11:23:59,anonymous,,6,Ohne Haptik,2:01.31,etwas,teils-teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft völlig zu,trifft gar nicht zu,hatte eher nicht das Gefühl,etwas unbewußt,real,etwas,eher wie eine vorgestellte Welt,"Stimme voll zu
","Stimme 
überhaupt nicht zu",Stimme eher nicht zu,Stimme eher nicht zu,Stimme etwas zu,Stimme eher nicht zu,Stimme etwas zu,Stimme eher nicht zu,weder noch,"Stimme 
überhaupt nicht zu",langsam,normal,normal,normal,schnell,stimme nicht zu,stimme nicht zu,3,eher wenig,eher wenig,sehr stark,eher wenig,stark,ein bisschen,ein bisschen,eher wenig,stark,eher wenig,stark,stark,stark,eher wenig,"weiß nicht, unentschieden","weiß nicht, unentschieden","weiß nicht, unentschieden",ein bisschen,eher wenig,ein bisschen,stark,stark,eher wenig,ein bisschen,"weiß nicht, unentschieden",wenig,wenig,"- Das Gefühl, mitten drin zu sein
- Die Möglichkeit mit Bewegungen mit der Spielfigur zu interagieren
- Der Sound/ die Musik","- Die Eingewöhnung meinerseits an der Praktibilität
- Manchmal schien die Spielfigur nicht so schnell/empfindlich auf meine Aktion zu reagieren
","- Virtuelle Sportarten und andere Spiele
- Simulationstraining z.B. im medizinisch-operativem Bereich",Sehr zukunftsversprechend!
